abonnieren,subscribe to 
achte,buy 
achten,respect, think highly of 
achte,buy 
aktiviere,activate 
aktivieren,activate 
aktualisieren,To update 
aktualisiert,updated 
akzeptiere,accept 
akzeptieren,accept 
akzeptiert,accepted 
ändere,change 
änderst,change 
ändert,change 
antworte,answer 
antworten,reply 
antwortest,answer 
antwortet,respondent 
arbeite,work 
arbeiten,work 
arbeitest,work 
arbeitet,is working 
arbeitete,worked 
arbeiteten,work 
aß,ate 
aßen,ate 
aßt,aßt 
basieren,be based on 
basiert,based 
bauen,to build 
baust,buoyancy 
beachten,note 
beantworte,answer 
beantworten,answer 
beantwortet,answered 
bearbeite,edit 
bearbeiten,to edit 
bearbeitest,work 
bearbeitet,processed 
bedeutet,mean 
beenden,break up 
beendest,exit 
begann,started 
begannen,began 
begannst,upset 
begannt,scared 
beginne,begin 
beginnen,to start 
beginnst,start 
beginnt,begins 
behalte,keep 
behalten,to keep 
behandeln,to treat 
behandelt,treated 
beiße,bite 
beißen,bite 
beißt,biting 
bekomme,get 
bekommen,to get 
bekommst,get 
bekommt,gets 
benötige,need 
benötigen,need 
benutze,use 
benutzen,to use 
benutzt,used 
beraten,to advise 
berechne,calculate 
berechnen,to calculate 
berechnet,calculated 
berechtigen,entitle 
berechtigt,entitled 
berichten,messages 
berichtet,reported 
besitzen,have 
besitzt,owned 
bestätige,confirm 
bestätigen,to confirm 
bestätigt,approved 
bestehen,consist 
besteht,consists 
bestellen,to order 
bestellt,ordered 
besuche,visits 
besuchen,visit 
besuchst,attend 
besucht,visited 
bete,full 
beten,pray 
betest,betester 
betet,praying 
betreffen,affect 
betrifft,concern 
bewegen,move 
bewegt,emotional 
bewerten,rate 
bewertest,rating 
bewertet,rated 
bezahle,pay 
bezahlen,pay 
bezahlst,pay 
bezahlt,paid 
bieg,run 
biege,bending 
biegt,bending 
biete,offer 
bieten,Offer 
bietest,bethest 
bietet,offer 
bilden,the picture 
bildet,picture 
bin,be 
bist,be 
bitten,ask 
bittest,Bittest 
bittet,ask 
bleibe,stay 
bleiben,stay 
bleibt,remains 
blieb,remained 
blieben,remain 
blute,blossom 
bluten,blossoms 
blutest,blood test 
blutet,bleed 
brauche,need 
brauchen,need 
braucht,need 
brenne,burn 
brennen,burn 
bringe,bring 
bringen,bring 
bringst,bring 
bringt,brings 
buche,beech 
buchen,book 
buchst,book 
bucht,bay 
dachte,thought 
dachten,thought 
dachtest,thought 
dachtet,fertilize 
danke,thanks 
danken,to thank 
dankst,thanks 
dankt,thank 
definiere,define 
definieren,define 
definierst,definierst 
definiert,Are defined 
denke,think 
denken,to think 
denkst,think 
denkt,think 
dienen,serve 
dirigiert,conducted 
diskutieren,to discuss 
diskutiert,discussion 
drücke,press 
drücken,to press 
drucken,to press 
drückt,push 
druckt,print 
dusche,shower 
duschst,Showered 
duscht,pulls 
empfehlen,recommend 
endet,end 
entdecken,discover 
entdeckt,discovered 
entferne,remove 
entfernen,remove 
entfernt,away 
entstehen,arise 
entsteht,arises 
entwickeln,develop 
entwickelt,developed 
erfahren,Experienced 
erfährt,experienced 
ergibt,giving 
erhält,receiving 
erhalten,receive 
erhielt,obtained 
erhielten,obtained 
erhöhen,increase 
erhöhst,raise 
erhöht,elevated 
erkennen,detect 
erkennst,recognize 
erkennt,recognizes 
erkläre,explain 
erklären,to explain 
erklärt,explained 
erlaube,permit 
erlauben,allow 
erlaubt,allowed 
erleben,experience 
ermitteln,determine 
ermittelt,determined 
ermöglichen,enable 
ermöglicht,enabled 
eröffne,open 
eröffnen,open 
eröffnet,open 
erreichen,to reach 
erreicht,reached 
erscheinen,appear 
erscheint,appearance 
ersetze,replace 
ersetzen,replace 
ersetzt,replaced 
erwarte,expect 
erwarten,expect 
erwartest,expectant 
erwartet,expect 
erweitern,expand 
erwerben,acquire 
erwirbt,acquires 
erzähle,tell 
esse,that 
esst,eat 
existiert,exists 
