    a
    ab · Preposition
    abend · Masculine Noun
    abendessen · Neuter Noun
    abends · Masculine Noun
    abenteuer · Neuter Noun
    aber · Conjunction
    abhängig · Adjective
    abonnieren · Verb
    abschluss · Masculine Noun
    abschnitt · Masculine Noun
    abteilung · Feminine Noun
    abteilungen · Feminine Noun
    acht · Numeral
    achte · Verb
    achten · Verb
    achte · Verb
    achtundzwanzig · Numeral
    achtung · Feminine Noun
    achtzehn · Numeral
    achtzig · Numeral
    adresse · Feminine Noun
    adressen · Feminine Noun
    affen · Masculine Noun
    afrika · Neuter Proper Noun
    agentur · Feminine Noun
    ägypten · Neuter Proper Noun
    ähnlich · Adjective
    ähnlichen · Adjective
    ahnung · Feminine Noun
    akademie · Feminine Noun
    akademien · Feminine Noun
    aktien · Feminine Noun
    aktiv · Adjective
    aktive · Masculine Adjective
    aktiviere · Verb
    aktivieren · Verb
    aktivitäten · Feminine Noun
    aktualisieren · Verb
    aktualisiert · Verb
    aktuelle · Feminine Adjective
    akzeptiere · Verb
    akzeptieren · Verb
    akzeptiert · Verb
    alkohol · Masculine Noun
    all · Neuter Noun
    alle · Determiner
    allein · Adverb
    alleine · Adverb
    allerdings · Adverb
    alles · Neuter Determiner
    alles klar
    allgemein · Adjective
    alltag · Masculine Noun
    als · Conjunction
    also · Adverb
    alt · Adjective
    alte · Feminine Adjective
    alten · Adjective
    alter · Neuter Noun
    alternative · Feminine Noun
    am · Masculine Preposition
    amt · Neuter Noun
    an · Preposition
    analyse · Feminine Noun
    analysen · Feminine Noun
    andere · Feminine Determiner
    ändere · Verb
    anderen · Masculine Determiner
    anderes · Neuter Determiner
    anders · Adverb
    änderst · Verb
    ändert · Verb
    änderung · Feminine Noun
    änderungen · Feminine Noun
    anfang · Masculine Noun
    anfänger · Masculine Noun
    anforderung · Feminine Noun
    anforderungen · Feminine Noun
    angabe · Feminine Noun
    angaben · Feminine Noun
    angebot · Neuter Noun
    angebote · Neuter Noun
    angst · Feminine Noun
    anhang · Masculine Noun
    anhänge · Masculine Noun
    anlage · Feminine Noun
    anlagen · Feminine Noun
    anleitung · Feminine Noun
    anmeldung · Feminine Noun
    anmeldungen · Feminine Noun
    anrede · Feminine Noun
    anregung · Feminine Noun
    anregungen · Feminine Noun
    ansatz · Masculine Noun
    anschluss · Masculine Noun
    ansicht · Feminine Noun
    ansichten · Feminine Noun
    ansonsten · Adverb
    anspruch · Masculine Noun
    ansprüche · Masculine Noun
    anteil · Masculine Noun
    anteile · Masculine Noun
    antrag · Masculine Noun
    anträge · Masculine Noun
    antwort · Feminine Noun
    antworte · Verb
    antworten · Verb
    antwortest · Verb
    antwortet · Verb
    anwendung · Feminine Noun
    anwendungen · Feminine Noun
    anzeige · Feminine Noun
    anzeigen · Feminine Noun
    äpfel · Masculine Noun
    apfel · Masculine Noun
    apfelsaft · Masculine Noun
    apotheke · Feminine Noun
    apotheken · Feminine Noun
    april · Masculine Noun
    arbeit · Feminine Noun
    arbeite · Verb
    arbeiten · Verb
    arbeitest · Verb
    arbeitet · Verb
    arbeitete · Verb
    arbeiteten · Verb
    arbeitgeber · Masculine Noun
    arbeitgeberin · Feminine Noun
    arbeitgeberinnen · Feminine Noun
    arbeitnehmer · Masculine Noun
    arbeitserlaubnis · Feminine Noun
    architekt · Masculine Noun
    architekten · Masculine Noun
    ärger · Masculine Noun
    arme · Masculine Noun
    art · Feminine Noun
    arten · Feminine Noun
    artikel · Masculine Noun
    artikeln · Masculine Noun
    arzt · Masculine Noun
    ärzte · Masculine Noun
    ärztin · Feminine Noun
    ärztinnen · Feminine Noun
    aß · Verb
    aßen · Verb
    asien · Neuter Proper Noun
    aßt · Verb
    atheist · Masculine Noun
    atheisten · Masculine Noun
    atmosphäre · Feminine Noun
    auch · Adverb
    auf · Preposition
    auf wiedersehen
    aufgabe · Feminine Noun
    aufgaben · Feminine Noun
    auflage · Feminine Noun
    aufnahme · Feminine Noun
    aufnahmen · Feminine Noun
    aufs · Neuter Preposition
    auftrag · Masculine Noun
    auge · Neuter Noun
    augen · Neuter Noun
    augenblick · Masculine Noun
    august · Masculine Noun
    aus · Preposition
    ausbildung · Feminine Noun
    ausdruck · Masculine Noun
    außen · Adverb
    außer · Preposition
    außerdem · Adverb
    außerirdische · Neuter Noun
    ausgabe · Feminine Noun
    ausgaben · Feminine Noun
    ausgezeichnet · Adjective
    ausland · Neuter Noun
    ausnahme · Feminine Noun
    ausnahmen · Feminine Noun
    ausstellung · Feminine Noun
    ausstellungen · Feminine Noun
    austausch · Masculine Noun
    australien · Neuter Proper Noun
    auswahl · Feminine Noun
    auto · Neuter Noun
    automatisch · Adjective
    autor · Masculine Noun
    autoren · Masculine Noun
    autos · Neuter Noun
    b
    baby · Neuter Noun
    babys · Neuter Noun
    bach · Masculine Noun
    bäche · Masculine Noun
    bäcker · Masculine Noun
    bäckerei · Feminine Noun
    bäckereien · Feminine Noun
    bäckerin · Feminine Noun
    bad · Neuter Noun
    bahn · Feminine Noun
    bahnhof · Masculine Noun
    bahnhöfe · Masculine Noun
    bald · Adverb
    balkon · Masculine Noun
    balkone · Masculine Noun
    ball · Masculine Noun
    bälle · Masculine Noun
    bananen · Feminine Noun
    band · Neuter Noun
    bank · Feminine Noun
    bänke · Feminine Noun
    banken · Feminine Noun
    bär · Masculine Noun
    bären · Masculine Noun
    basieren · Verb
    basiert · Verb
    basis · Feminine Noun
    batterie · Feminine Noun
    batterien · Feminine Noun
    bauch · Masculine Noun
    bauen · Verb
    bauer · Masculine Noun
    bauern · Masculine Noun
    baum · Masculine Noun
    bäume · Masculine Noun
    baumwolle · Feminine Noun
    baust · Verb
    bayern · Neuter Proper Noun
    beachten · Verb
    beantworte · Verb
    beantworten · Verb
    beantwortet · Verb
    bearbeite · Verb
    bearbeiten · Verb
    bearbeitest · Verb
    bearbeitet · Verb
    bedarf · Masculine Noun
    bedeutet · Verb
    bedeutung · Feminine Noun
